,cluster
nucleus_RadialDistribution_ZernikeMagnitude_8_8,94
nucleus_RadialDistribution_ZernikePhase_8_8,313
nucleus_RadialDistribution_ZernikeMagnitude_9_1,115
nucleus_RadialDistribution_ZernikePhase_9_1,278
nucleus_RadialDistribution_ZernikeMagnitude_9_3,117
nucleus_RadialDistribution_ZernikePhase_9_3,296
nucleus_RadialDistribution_ZernikeMagnitude_9_5,79
nucleus_RadialDistribution_ZernikePhase_9_5,311
nucleus_RadialDistribution_ZernikeMagnitude_9_7,81
nucleus_RadialDistribution_ZernikePhase_9_7,298
nucleus_RadialDistribution_ZernikeMagnitude_9_9,64
nucleus_RadialDistribution_ZernikePhase_9_9,314
nucleus_Intensity_IntegratedIntensity,217
nucleus_Intensity_MeanIntensity,260
nucleus_Intensity_StdIntensity,257
nucleus_Intensity_MinIntensity,251
nucleus_Intensity_MaxIntensity,255
nucleus_Intensity_MassDisplacement,238
nucleus_Intensity_LowerQuartileIntensity,260
nucleus_Intensity_MedianIntensity,260
nucleus_Intensity_MADIntensity,259
nucleus_Intensity_UpperQuartileIntensity,260
nucleus_Location_CenterMassIntensity_X,33
nucleus_Location_CenterMassIntensity_Y,14
nucleus_Location_MaxIntensity_X,35
nucleus_Location_MaxIntensity_Y,16
nucleus_Intensity_IntegratedIntensityEdge,221
nucleus_Intensity_MeanIntensityEdge,260
nucleus_Intensity_StdIntensityEdge,252
nucleus_Intensity_MinIntensityEdge,251
nucleus_Intensity_MaxIntensityEdge,253
nucleus_Area,217
nucleus_BoundingBoxArea,219
nucleus_ConvexArea,219
nucleus_EquivalentDiameter,217
nucleus_Perimeter,219
nucleus_MajorAxisLength,219
nucleus_MinorAxisLength,217
nucleus_Eccentricity,106
nucleus_Orientation,290
nucleus_Center_X,33
nucleus_Center_Y,14
nucleus_BoundingBoxMinimum_X,34
nucleus_BoundingBoxMaximum_X,33
nucleus_BoundingBoxMinimum_Y,15
nucleus_BoundingBoxMaximum_Y,14
nucleus_FormFactor,98
nucleus_Extent,85
nucleus_Solidity,85
nucleus_Compactness,98
nucleus_EulerNumber,123
nucleus_MaximumRadius,217
nucleus_MeanRadius,217
nucleus_MedianRadius,217
nucleus_FilledArea,217
nucleus_SpatialMoment_0_0,217
nucleus_SpatialMoment_0_1,224
nucleus_SpatialMoment_0_2,223
