,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
cell_Contrast_3_01_256,0.04951467,0.04028366,-0.05429644,-0.13060103,0.028759597,0.09660445,0.056179635,0.010765919,0.014433164,-0.010740853,0.0235101,-0.0024606038,0.006733756,-0.0047692526,-0.0067731366
cell_Correlation_3_01_256,0.021250783,0.014339673,0.02309554,0.15207042,0.0067486763,0.022389878,-0.11182478,-0.07653582,-0.007873833,0.025871282,-0.04085617,0.027482573,0.020531947,-0.0068974867,0.048385885
cell_Variance_3_01_256,0.072972536,0.057179447,-0.047493786,-0.05332038,0.038785327,0.12684786,-0.0040470734,-0.035668824,0.011929616,0.0034892808,0.0001262204,0.0070493286,0.021058533,-0.008999383,0.01984939
cell_InverseDifferenceMoment_3_01_256,-0.08801598,-0.014300939,-0.0035781946,0.0768114,-0.015660135,0.09544821,0.012333433,-0.051575053,-0.008000567,0.023002012,-0.016749801,0.014054678,-0.02232512,0.0065672793,-0.057665728
cell_SumAverage_3_01_256,0.0931938,0.0221075,-0.008576829,-0.0511177,0.004478066,-0.047402967,-0.0910303,0.05166278,0.030780517,0.011232459,0.013274725,0.016743261,0.02347281,-0.00023724708,0.008418322
cell_SumVariance_3_01_256,0.07438034,0.058000095,-0.044212412,-0.036390573,0.03906903,0.12729165,-0.015332559,-0.043007813,0.010954204,0.0060497303,-0.0043266783,0.008563019,0.022901777,-0.009427289,0.024082236
cell_SumEntropy_3_01_256,0.09685917,0.044381958,-0.015741123,-0.028069125,0.033485036,0.038479656,-0.06542335,-0.005062226,0.025541132,0.012681213,0.0073660943,0.0046650986,0.026194017,0.0034249432,0.028455675
cell_Entropy_3_01_256,0.095517166,0.042830683,-0.00679551,-0.057177864,0.03155888,-0.013377831,-0.039963137,0.026078744,0.024488902,-0.007413721,0.015873905,-0.012345695,0.02707309,0.003197747,0.04389397
cell_DifferenceVariance_3_01_256,-0.08066166,-0.03821291,0.012580747,0.09748243,-0.030331416,0.027717268,-0.021571353,-0.036021963,-0.009052302,0.021771956,-0.020328043,0.027761132,-0.018886061,0.0012571495,-0.034690574
cell_DifferenceEntropy_3_01_256,0.08082965,0.04046032,-0.02465904,-0.11484948,0.028963331,0.0026713333,0.033506863,0.03645611,0.0097276205,-0.025370186,0.023345698,-0.012281973,0.018103562,-0.0046991003,0.027193584
cell_InfoMeas1_3_01_256,-0.02981787,-0.007957423,0.023229357,-0.101414524,-0.0053910767,-0.14546624,0.11904857,0.10273335,-0.0032535703,-0.06452194,0.027801543,-0.061811328,-0.003917921,-0.0020860706,0.04635533
cell_InfoMeas2_3_01_256,0.050798114,0.016552534,-0.023866838,0.08198001,0.010774215,0.13215546,-0.12173707,-0.09224924,0.010698639,0.053094618,-0.020111797,0.04973329,0.009646492,0.0018837978,-0.031715803
cell_AngularSecondMoment_3_02_256,-0.08004267,0.0032617226,-0.0128678335,0.0527607,-0.015070254,0.06716998,0.07487571,-0.044030298,-0.03867435,-0.014966905,-0.012641777,0.003666493,-0.032599606,-6.957552e-05,-0.03444189
cell_Contrast_3_02_256,0.047834788,0.041253608,-0.054022517,-0.13586631,0.026829062,0.09055855,0.057001863,0.009477487,0.011493839,0.0027588652,0.019825963,-0.008266539,0.015199942,-0.0050463416,-0.013848819
cell_Correlation_3_02_256,0.028769478,0.016042462,0.019332394,0.14821225,0.012863811,0.037309147,-0.10955527,-0.071621634,-0.0022837536,-0.00094790355,-0.030490948,0.037433326,0.004126396,-0.0070149885,0.05934147
cell_Variance_3_02_256,0.07334486,0.057137858,-0.04724182,-0.05334841,0.038706757,0.12611136,-0.004877785,-0.03500108,0.0120478,0.0031791842,0.0006304661,0.0073099732,0.020495312,-0.008775154,0.019938558
cell_InverseDifferenceMoment_3_02_256,-0.08510524,-0.016823009,0.00059878314,0.08511483,-0.011598684,0.09999702,0.011647878,-0.04345976,-0.0028331506,-0.014412971,-0.0019797403,0.029141918,-0.048476852,0.011479551,-0.047258437
cell_SumAverage_3_02_256,0.092990495,0.02238691,-0.0091729555,-0.05113593,0.0041823904,-0.048237346,-0.091062,0.051961746,0.031013494,0.014056943,0.012261677,0.015116438,0.025773913,-0.00072954455,0.00771866
cell_SumVariance_3_02_256,0.07444032,0.05748991,-0.045029927,-0.041441306,0.03908566,0.1269505,-0.012515093,-0.039584264,0.011770671,0.0031404877,-0.0018004176,0.0090574045,0.020571044,-0.008991268,0.023611486
cell_SumEntropy_3_02_256,0.09742631,0.04323081,-0.014229284,-0.02867435,0.032824244,0.03326909,-0.06686265,-0.0020004513,0.025921082,0.00964881,0.008993189,0.0054678842,0.02422241,0.0040195943,0.028804354
cell_Entropy_3_02_256,0.09465884,0.04358315,-0.008500917,-0.06107825,0.029598346,-0.017727796,-0.040824935,0.023588335,0.022900574,0.012826505,0.0084537305,-0.020423843,0.041069604,0.0010612328,0.03741768
cell_DifferenceVariance_3_02_256,-0.07690103,-0.040541504,0.015879415,0.10418705,-0.027585797,0.02918454,-0.023111636,-0.027995057,-0.005074339,-0.01301505,-0.0066548013,0.04277326,-0.04213966,0.0046108444,-0.023332737
cell_DifferenceEntropy_3_02_256,0.07778225,0.041964643,-0.026972562,-0.12151598,0.025298415,-0.0053170566,0.033329647,0.030399237,0.0061739576,0.01211788,0.009074621,-0.028078202,0.044191368,-0.007719586,0.015596315
cell_InfoMeas1_3_02_256,-0.0365652,-0.0056424434,0.01614043,-0.105347075,-0.012364773,-0.14892147,0.116342135,0.084211096,-0.011333643,0.006103513,-0.0007681879,-0.08673508,0.044017375,-0.009620233,0.022082621
cell_InfoMeas2_3_02_256,0.058153745,0.014729126,-0.016936151,0.08118951,0.017662479,0.13089049,-0.11780581,-0.073632225,0.019648049,-0.004391987,0.0032243098,0.065510996,-0.028627934,0.008980112,-0.010790538
cell_AngularSecondMoment_3_03_256,-0.079640344,0.00438104,-0.0138657205,0.05056702,-0.016380046,0.06430064,0.07401931,-0.045768894,-0.04177116,-0.02301904,-0.011758079,0.0015608092,-0.021468785,-0.0019818058,-0.037913583
cell_Contrast_3_03_256,0.04948022,0.040076032,-0.05439847,-0.13010862,0.029148184,0.09797998,0.056611903,0.008987166,0.016190441,0.013163115,0.016965672,-0.0055918507,0.0014401226,-0.004966766,-0.0075559467
cell_Correlation_3_03_256,0.02257561,0.015481168,0.022644313,0.1504727,0.0069690496,0.020602318,-0.11220176,-0.07282728,-0.011210048,-0.020271474,-0.02739461,0.031835962,0.029990518,-0.008296179,0.05068671
cell_Variance_3_03_256,0.07300888,0.057185426,-0.047391273,-0.05333417,0.038753625,0.12682085,-0.0041107093,-0.035563815,0.01184316,0.0029047963,0.00028766546,0.0069876234,0.021236533,-0.009052029,0.019792177
cell_InverseDifferenceMoment_3_03_256,-0.08780754,-0.013685046,-0.0041109794,0.0771273,-0.016563175,0.09440056,0.014136025,-0.05038141,-0.013387865,-0.043721173,0.0012171112,0.02073235,-0.009196781,0.0052920394,-0.060995676
cell_SumAverage_3_03_256,0.09316878,0.022110105,-0.008699784,-0.05109278,0.004463843,-0.047422286,-0.09119162,0.051464025,0.031313844,0.016158564,0.012081397,0.01634461,0.022230418,-0.00022841174,0.008582741
cell_SumVariance_3_03_256,0.0744213,0.058044724,-0.044138595,-0.03678176,0.03896369,0.12702298,-0.015305997,-0.04244427,0.010544463,0.0008660791,-0.0028452203,0.009055516,0.024071308,-0.009445744,0.02409935
cell_SumEntropy_3_03_256,0.09696255,0.044426467,-0.015612605,-0.028215498,0.03345703,0.037809994,-0.06505967,-0.0046413797,0.024962168,0.0066960123,0.00885273,0.0049372287,0.027222697,0.0031163986,0.028471544
cell_Entropy_3_03_256,0.09532023,0.04268343,-0.00681389,-0.05701124,0.032224074,-0.012457873,-0.040714238,0.02483373,0.027653418,0.028452761,0.006351543,-0.016095124,0.019713908,0.00388338,0.044653185
cell_DifferenceVariance_3_03_256,-0.08003102,-0.03789478,0.012306791,0.09785465,-0.031627826,0.02554786,-0.020885857,-0.033941887,-0.014228361,-0.041006193,-0.003415883,0.034048893,-0.006293705,-0.00022355931,-0.036145404
cell_DifferenceEntropy_3_03_256,0.08025871,0.040057782,-0.024777243,-0.11530753,0.029955007,0.004910053,0.033133894,0.033793293,0.015274138,0.042335533,0.005221322,-0.018920682,0.003799753,-0.0030096886,0.02815853
cell_InfoMeas1_3_03_256,-0.033556767,-0.009688149,0.023177974,-0.099837266,-0.0041585597,-0.14233746,0.118489206,0.0980632,0.007150674,0.06226229,-0.0063418164,-0.0746532,-0.030516207,0.0010371902,0.048125304
cell_InfoMeas2_3_03_256,0.053995475,0.017631868,-0.023302792,0.08024055,0.011181117,0.12834066,-0.12072622,-0.08720549,0.0023384823,-0.048233934,0.007066448,0.0598027,0.030445857,-0.0016583633,-0.03168516
cell_Granularity_1,-0.037253875,0.024447232,0.027934102,-0.04146381,-0.003111089,0.019850565,0.05884172,-0.012656405,-0.0021760834,-0.00736802,-0.023695657,0.068566754,-0.012953148,0.001236965,-0.022106394
cell_Granularity_2,0.022117624,-0.00012352857,0.012545365,-0.079874784,0.03468669,0.08281112,0.0535502,0.024256058,0.015729176,-0.014829306,-0.000116143085,0.014103576,0.0020423806,-0.04740315,0.0011104587
cell_Granularity_3,0.0205702,-0.0072875363,0.006046708,-0.061153952,0.0160006,0.03545695,0.00041265515,0.003954299,-0.001160546,0.006139775,-0.009106673,0.028294004,-0.004808067,-0.0057655713,0.0013532322
cell_Granularity_4,0.031724624,-0.0099652875,0.008616067,-0.0065191453,0.003359171,0.0058716787,0.008481145,-0.007147383,-0.005547427,0.0046310658,0.0054192697,0.031780113,-0.0104603935,0.0019543234,-0.0073232055
cell_Granularity_5,0.03471858,-0.0053010425,0.009548838,0.008835878,-0.0066188616,-0.0025356114,-0.0026384778,-0.00017365592,0.00032356824,0.008015188,0.019234765,0.052608233,0.0049404385,0.00033605425,0.014731783
cell_Granularity_6,0.03216506,-0.0040475302,0.025204496,0.011129755,-0.010413213,0.010696981,0.00280368,0.008771327,-0.028960532,0.004527319,0.019021757,0.053274952,0.02905693,-0.017609732,0.026969675
cell_Granularity_7,0.032089286,-0.007477058,0.03306348,0.019022012,-0.012431543,0.008113822,-0.0015605293,0.012554721,-0.037191503,0.013407363,0.008863025,0.086781584,-0.0028826485,-0.032007568,0.008575894
cell_Granularity_8,0.036901303,-0.008008552,0.04418044,0.030383915,0.00018905078,0.013134831,-0.015333308,0.014022584,-0.04403683,0.031847056,0.014600788,0.08633,-0.009111669,-0.036638703,-0.011080269
cell_Granularity_9,0.038776573,-0.008728341,0.02042366,0.04127739,0.0017629935,0.006224467,-0.03678276,-0.0013899535,-0.03873916,0.027400794,0.0026270642,0.05532642,-0.009372812,-0.029266004,-0.035305437
cell_Granularity_10,0.03726294,-0.011421738,0.004313258,0.0385601,0.01335674,0.0068492265,-0.04444203,-0.0069457577,-0.027969085,0.0053769373,0.00088450726,0.006681568,0.012277156,-0.014435689,-0.049743965
cell_Granularity_11,0.032131385,-0.00747566,-0.007328905,0.03265921,0.015948992,0.0019920904,-0.042418417,-0.011991733,0.0013896528,0.0139092505,0.00746614,-0.039720163,0.023756478,0.012626569,-0.0035556331
cell_Granularity_12,0.024682458,-0.004429348,-0.011708691,0.026592081,0.017943623,-0.012727717,-0.03057646,-0.01322758,0.023506267,-0.007627901,0.009475849,-0.09879262,0.02302911,0.020165743,0.017612878
cell_Granularity_13,0.012847217,-0.0033325802,-0.020373955,0.02045998,0.009731394,-0.00082228146,-0.03636658,-0.0034019202,0.042153593,-0.014354632,0.02401482,-0.12685013,0.012321373,0.051118694,0.058999676
cell_Granularity_14,0.006414983,-0.0008349463,-0.022326889,0.019742828,0.011917787,-0.013537112,-0.01599154,0.012168246,0.046461087,0.00089244597,0.027699323,-0.13220455,0.010521541,0.03421882,0.07867394
cell_Granularity_15,-0.00074740226,-0.0025991565,-0.030223256,0.014362444,0.017420348,-0.011918176,-0.026617436,0.00083632756,0.030261243,-0.014204731,0.010920025,-0.11829872,-0.013018222,0.021551777,0.0638031
cell_Granularity_16,-0.0029960119,-0.001184257,-0.02218717,0.009989419,0.009294635,-0.011650648,-0.013753849,-0.012465084,0.02854249,-0.01425703,0.009123551,-0.08177238,0.013052642,0.014534769,0.048778206
nucleus_RadialDistribution_FracAtD_1of4,-0.021276565,-0.009915329,-0.02539106,-0.0032493505,0.12170956,-0.011642902,-0.02685373,0.03268519,0.01623209,-0.019977638,-0.12876111,-0.031056028,-0.009252601,-0.1290208,0.025709268
nucleus_RadialDistribution_MeanFrac_1of4,0.0042081126,0.009618527,0.0022733968,0.007264638,0.043831263,0.024492351,0.008450938,0.04564847,0.009716677,0.013463819,-0.053485774,-0.015590283,0.02026389,-0.102949664,0.05907885
nucleus_RadialDistribution_RadialCV_1of4,0.0053801057,0.011754495,0.0021934153,0.033580784,0.03492662,-0.0047824606,0.08176986,0.059799988,0.02389948,0.009757751,-0.009323063,-0.027084485,-0.019848473,-0.014683924,0.033745304
nucleus_RadialDistribution_FracAtD_2of4,-0.028586248,-0.02078105,-0.024240918,-0.00020820246,0.13298611,-0.021190444,-0.016891025,0.041549113,0.024451798,-0.013965021,-0.09031147,-0.038037714,-0.018534815,-0.09902103,-0.0095516555
nucleus_RadialDistribution_MeanFrac_2of4,-0.0076102987,0.010584041,-0.009103087,0.006379654,0.055787995,0.031557724,0.037056215,0.07335225,0.024829682,0.008455317,-0.013183036,-0.048540752,-0.0076009906,-0.08260111,0.005123276
nucleus_RadialDistribution_RadialCV_2of4,0.01383549,0.026438175,0.003155518,0.051963877,0.052075665,0.022491345,0.107079856,0.11064446,0.049409784,0.00022588695,-0.0055603324,-0.038312167,-0.0059724213,-0.034410734,0.044174254
nucleus_RadialDistribution_FracAtD_3of4,-0.019864928,-0.020275418,-0.0034488249,0.011647615,0.03500217,-0.037683792,-0.015052084,0.02191941,0.010888039,-0.007149572,0.0408534,-0.008287014,-0.021657435,0.046742592,-0.0452838
