representative,cluster_size,has_handpicked,source
nucleus_RadialDistribution_ZernikeMagnitude_4_4,1,False,cp_measure
nucleus_Zernike_4_0,1,False,cp_measure
nucleus_RadialDistribution_ZernikeMagnitude_8_4,1,False,cp_measure
nucleus_Zernike_8_4,1,False,cp_measure
nucleus_Zernike_4_4,1,False,cp_measure
nucleus_RadialDistribution_ZernikeMagnitude_9_5,1,False,cp_measure
nucleus_Zernike_9_5,1,False,cp_measure
nucleus_RadialDistribution_ZernikeMagnitude_9_7,1,False,cp_measure
nucleus_Zernike_9_7,1,False,cp_measure
nucleus_RadialDistribution_ZernikeMagnitude_7_3,1,False,cp_measure
nucleus_Zernike_7_3,1,False,cp_measure
nucleus_RadialDistribution_ZernikeMagnitude_1_1,1,False,cp_measure
nucleus_RadialDistribution_ZernikeMagnitude_3_1,1,False,cp_measure
nucleus_Zernike_3_1,1,False,cp_measure
nucleus_Solidity,1,False,cp_measure
nucleus_RadialDistribution_ZernikeMagnitude_3_3,1,False,cp_measure
nucleus_RadialDistribution_ZernikeMagnitude_5_5,1,False,cp_measure
nucleus_RadialDistribution_ZernikeMagnitude_5_3,1,False,cp_measure
nucleus_RadialDistribution_ZernikeMagnitude_7_5,1,False,cp_measure
nucleus_RadialDistribution_ZernikeMagnitude_6_6,1,False,cp_measure
nucleus_RadialDistribution_ZernikeMagnitude_8_8,1,False,cp_measure
nucleus_RadialDistribution_ZernikeMagnitude_6_4,1,False,cp_measure
nucleus_Zernike_7_5,1,False,cp_measure
nucleus_RadialDistribution_ZernikeMagnitude_7_1,1,False,cp_measure
nucleus_Zernike_7_1,1,False,cp_measure
nucleus_RadialDistribution_ZernikeMagnitude_9_1,1,False,cp_measure
nucleus_Zernike_9_1,1,False,cp_measure
nucleus_RadialDistribution_ZernikeMagnitude_9_3,1,False,cp_measure
nucleus_Zernike_9_3,1,False,cp_measure
nucleus_Zernike_1_1,1,False,cp_measure
nucleus_Zernike_5_1,1,False,cp_measure
nucleus_RadialDistribution_ZernikeMagnitude_5_1,1,False,cp_measure
nucleus_Zernike_5_3,1,False,cp_measure
nucleus_EulerNumber,1,False,cp_measure
nucleus_Zernike_6_4,1,False,cp_measure
cell_Zernike_7_3,1,False,cp_measure
cell_Zernike_9_5,1,False,cp_measure
cell_Zernike_8_4,1,False,cp_measure
cell_Zernike_9_1,1,False,cp_measure
cell_Zernike_9_3,1,False,cp_measure
cell_Zernike_6_0,1,False,cp_measure
cell_Zernike_8_2,1,False,cp_measure
cell_Zernike_6_2,1,False,cp_measure
cell_Zernike_5_1,1,False,cp_measure
cell_Zernike_7_1,1,False,cp_measure
cell_Zernike_8_0,1,False,cp_measure
cell_HuMoment_4,1,False,cp_measure
cell_HuMoment_6,1,False,cp_measure
cell_Zernike_2_2,1,False,cp_measure
cell_Zernike_4_2,1,False,cp_measure
cell_Zernike_4_4,1,False,cp_measure
cell_Zernike_6_4,1,False,cp_measure
cell_Zernike_6_6,1,False,cp_measure
cell_Zernike_8_6,1,False,cp_measure
cell_Zernike_8_8,1,False,cp_measure
cell_Zernike_3_3,1,False,cp_measure
cell_Zernike_5_3,1,False,cp_measure
cell_Zernike_5_5,1,False,cp_measure
cell_Zernike_7_5,1,False,cp_measure
cell_Zernike_7_7,1,False,cp_measure
cell_Zernike_9_9,1,False,cp_measure
cell_Zernike_9_7,1,False,cp_measure
cell_RadialDistribution_ZernikeMagnitude_1_1,1,False,cp_measure
cell_RadialDistribution_ZernikeMagnitude_3_1,1,False,cp_measure
cell_Zernike_3_1,1,False,cp_measure
cell_Zernike_1_1,1,False,cp_measure
cell_Zernike_4_0,1,False,cp_measure
cell_RadialDistribution_ZernikeMagnitude_3_3,1,False,cp_measure
cell_RadialDistribution_ZernikeMagnitude_5_3,1,False,cp_measure
cell_RadialDistribution_ZernikeMagnitude_7_7,1,False,cp_measure
cell_RadialDistribution_ZernikeMagnitude_9_9,1,False,cp_measure
cell_RadialDistribution_ZernikeMagnitude_7_5,1,False,cp_measure
cell_RadialDistribution_ZernikeMagnitude_9_7,1,False,cp_measure
cell_RadialDistribution_ZernikeMagnitude_5_5,1,False,cp_measure
cell_RadialDistribution_ZernikeMagnitude_7_3,1,False,cp_measure
cell_RadialDistribution_ZernikeMagnitude_9_3,1,False,cp_measure
cell_RadialDistribution_ZernikeMagnitude_9_5,1,False,cp_measure
cell_RadialDistribution_ZernikeMagnitude_7_1,1,False,cp_measure
cell_RadialDistribution_ZernikeMagnitude_9_1,1,False,cp_measure
cell_RadialDistribution_ZernikeMagnitude_5_1,1,False,cp_measure
cell_Solidity,1,False,cp_measure
cell_RadialDistribution_FracAtD_3of4,1,False,cp_measure
cell_Zernike_2_0,1,False,cp_measure
cell_RadialDistribution_ZernikeMagnitude_4_0,1,False,cp_measure
cell_RadialDistribution_ZernikeMagnitude_6_0,1,False,cp_measure
cell_RadialDistribution_ZernikeMagnitude_8_4,1,False,cp_measure
cell_RadialDistribution_ZernikeMagnitude_8_0,1,False,cp_measure
cell_Zernike_0_0,1,False,cp_measure
cell_RadialDistribution_ZernikeMagnitude_8_8,1,False,cp_measure
cell_Granularity_4,1,False,cp_measure
nucleus_Granularity_4,1,False,cp_measure
nucleus_RadialDistribution_FracAtD_1of4,1,False,cp_measure
nucleus_RadialDistribution_MeanFrac_1of4,1,False,cp_measure
nucleus_RadialDistribution_FracAtD_3of4,1,False,cp_measure
nucleus_RadialDistribution_MeanFrac_3of4,1,False,cp_measure
nucleus_RadialDistribution_MeanFrac_2of4,1,False,cp_measure
nucleus_RadialDistribution_MeanFrac_4of4,1,False,cp_measure
cell_Granularity_2,1,False,cp_measure
nucleus_Granularity_2,1,False,cp_measure
nucleus_RadialDistribution_RadialCV_4of4,1,False,cp_measure
nucleus_Intensity_MassDisplacement,1,False,cp_measure
nucleus_RadialDistribution_RadialCV_1of4,1,False,cp_measure
nucleus_RadialDistribution_RadialCV_2of4,1,False,cp_measure
nucleus_Correlation_3_mean_256,1,False,cp_measure
nucleus_RadialDistribution_RadialCV_3of4,1,False,cp_measure
hc_nucleus_to_cell_area_ratio,1,True,handpicked
cell_Intensity_IntegratedIntensityEdge,1,False,cp_measure
nucleus_Intensity_IntegratedIntensityEdge,1,False,cp_measure
hc_lipid_area,1,True,handpicked
nucleus_nucleoli_Correlation_RWC_2,1,False,cp_measure
cell_Intensity_MassDisplacement,1,False,cp_measure
nucleoli_lipid_Correlation_Pearson,1,False,cp_measure
cell_nucleus_Correlation_RWC_2,1,False,cp_measure
cell_nucleoli_Correlation_RWC_2,1,False,cp_measure
cell_lipid_Correlation_RWC_2,1,False,cp_measure
cell_Intensity_MaxIntensity,1,False,cp_measure
nucleus_lipid_Correlation_Costes_1,1,False,cp_measure
nucleus_Intensity_MaxIntensity,1,False,cp_measure
nucleus_DifferenceVariance_3_mean_256,1,False,cp_measure
nucleus_Intensity_StdIntensityEdge,1,False,cp_measure
nucleus_Intensity_MaxIntensityEdge,1,False,cp_measure
cell_Intensity_MADIntensity,1,False,cp_measure
cell_RadialDistribution_ZernikeMagnitude_2_0,1,False,cp_measure
cell_RadialDistribution_MeanFrac_2of4,1,False,cp_measure
cell_RadialDistribution_MeanFrac_4of4,1,False,cp_measure
cell_RadialDistribution_MeanFrac_1of4,1,False,cp_measure
cell_RadialDistribution_MeanFrac_3of4,1,False,cp_measure
cell_Intensity_StdIntensityEdge,1,False,cp_measure
cell_Intensity_MaxIntensityEdge,1,False,cp_measure
cell_Intensity_MeanIntensityEdge,1,False,cp_measure
cell_Correlation_3_mean_256,1,False,cp_measure
cell_lipid_Correlation_Manders_2,1,False,cp_measure
cell_EulerNumber,1,False,cp_measure
